company_id,company,industry,confidence,reason,postings,example_titles,example_roles,example_queries
1,3 Squared Technology Group,Technology,high,Database roles indicate a tech focus.,2,Database Analyst/Programmer with Security Clearance; Senior Database Analyst with Security Clearance,Database Role,database analyst
2,48forty Solutions and Relogistics Services,Finance & Insurance,high,Financial Analyst role suggests finance industry.,2,Financial Analyst,Financial Analyst,financial analyst
3,4P Consulting,Consulting / Professional Services,medium,GIS roles often found in consulting.,2,"GIS Technician 1,2; GIS Tech 2",Other Data/Analytics Role,database analyst
4,8 OZ LLC,Consulting / Professional Services,high,Business development and analytics indicate consulting.,1,BUSINESS DEVELOPMENT & ANALYTICS MANAGER,Analytics Manager,analytics manager
5,804 Technology,Finance & Insurance,high,Financial Analyst role suggests finance industry.,1,Financial Analyst,Financial Analyst,financial analyst
6,"A & G International Trade, Inc.",Other / Unknown,low,General data management without clear industry.,1,Data Analyst,Data Analyst,data analyst
7,A-Line Staffing Solutions LLC,Technology,high,Data reporting roles indicate a tech focus.,1,Data Reporting Analyst,Reporting Analyst,reporting analyst
8,A-TEK,Technology,high,Market research in AI suggests tech industry.,1,AI Market Intelligence Analyst,Market Research Analyst,market research analyst
9,A.O. Smith,Manufacturing,high,Manufactures water heating equipment.,1,Senior Financial Analyst,Financial Analyst,financial analyst
10,A3T,Technology,high,Focus on IT and cybersecurity indicates tech.,1,Database Vulnerability Analyst,Database Role,database analyst
11,AARATECH,Technology,high,Data Analyst roles indicate a tech focus.,11,Data Analyst,Data Analyst,data analyst
12,ACCLiiVE,Technology,high,Data Engineer role suggests a tech industry.,1,Data Engineer,Data Engineer,data engineer
13,ACI Infotech,Technology,high,Data Engineer roles indicate a tech focus.,1,Sr Data Engineer,Data Engineer,data engineer
14,ACI Worldwide,Finance & Insurance,high,Market intelligence in payments suggests finance.,1,Sr Market Intelligence Research Analyst,Market Research Analyst,market research analyst
15,AGIA,Finance & Insurance,high,Insurance platform indicates finance industry.,1,Data Analytics Manager,Analytics Manager,analytics manager
16,AIG Insurance,Finance & Insurance,high,Generative AI in insurance suggests finance.,1,GenAI Product Analyst,Product Analyst,product analyst
17,AIR Communities,Real Estate,medium,Operations analytics in real estate context.,1,Operations Analytics Manager,Analytics Manager,analytics manager
18,"AIT Global, Inc.",Technology,high,Data Engineer role indicates a tech focus.,1,Data Engineer,Data Engineer,data engineer
19,AMAZON,Retail / E-commerce,high,Marketing role in Zappos indicates retail.,1,"Marketing Planning & Analytics Manager, Zappos",Analytics Manager,analytics manager
20,AMH,Real Estate,high,Single-family rental company indicates real estate.,3,Enterprise Data Analyst; Senior Data Engineer,Data Analyst; Data Engineer,data analyst; data engineer
21,AMISEQ,Finance & Insurance,high,Financial Analyst role suggests finance industry.,1,Senior Financial Analyst,Financial Analyst,financial analyst
22,APN Consulting Inc,Technology,high,Business intelligence roles indicate a tech focus.,1,Business Intelligence Engineer,Business Intelligence,business intelligence
23,ARCO,Other / Unknown,medium,Market research in construction context.,1,"Market Research Analyst, Construction",Market Research Analyst,market research analyst
24,ARK Infotech Spectrum,Technology,high,Data Scientist roles indicate a tech focus.,1,Senior Data Scientist,Data Scientist,data scientist
25,ARUP Laboratories Career,Healthcare,high,Database management in a healthcare context.,1,IT Database Management Supervisor,Database Role,database analyst
26,ATA ANALYTIQ LLC,Healthcare,high,FHIR Data Analyst role indicates healthcare focus.,1,FHIR Data Analyst,Data Analyst,data analyst
27,ATA Services Inc,Transportation / Logistics,medium,Operations analyst in logistics context.,2,Business Operations Analyst,Operations Analyst,operations analyst
28,AVID Technical Resources,Technology,high,Business Analyst roles indicate a tech focus.,1,Business Analyst,Business Analyst,business analyst
29,AWG Enterprises,Real Estate,high,Market research in real estate context.,1,Real Estate Market Research Analyst,Market Research Analyst,market research analyst
30,AXIS,Finance & Insurance,high,Product Analyst in insurance suggests finance.,1,Product Analyst,Product Analyst,product analyst
31,AaraTechnologies Inc,Finance & Insurance,high,Data Analyst in banking indicates finance industry.,12,Data Analyst; DATA ANALYST; BUSINESS ANALYST; Data Engineer,Data Analyst; Business Analyst; Data Engineer,data analyst; business analyst; data engineer
32,Aasritha infotech Inc,Technology,high,Data Engineer role indicates a tech focus.,2,Data Engineer,Data Engineer,data engineer
33,AbbVie,Healthcare,high,Analytics in healthcare context suggests industry.,1,"Pricing Strategy Analytics Manager- Irvine, CA",Analytics Manager,analytics manager
34,Abbott Laboratories,Healthcare,high,Global healthcare leader indicates healthcare industry.,2,Senior Data Scientist; Senior Product Cybersecurity Analyst,Data Scientist; Product Analyst,data scientist; product analyst
35,Abnormal,Technology,high,Sales analytics in tech context suggests industry.,1,Sales Analytics Manager,Analytics Manager,analytics manager
36,Accelerant,Finance & Insurance,high,Data product analyst in insurance suggests finance.,1,Data Product Analyst,Data Analyst,product analyst
37,Accenture,Government / Public Sector,high,Consulting for federal government indicates public sector.,8,Product Analyst/Owner; Infrastructure & Capital Projects,Product Analyst; Database Role,product analyst; database analyst
38,Accenture Federal Services,Government / Public Sector,high,Consulting for federal government indicates public sector.,1,Product Analyst/Owner,Product Analyst,product analyst
39,Accenture Infrastructure and Capital Projects,Government / Public Sector,high,Infrastructure projects for government indicate public sector.,1,Infrastructure & Capital Projects,Database Role,database analyst
